Effect4.Api.M1Origin.forkScoped_none_origins: 21/21 binders; law Effect4.Api.forkScoped_none_origins; exact true; adapter false
Effect4.Program.Sched.M1Origin.forkIn_rel: 19/19 binders; law Effect4.Program.Sched.forkIn_rel; exact true; adapter false
Effect4.Program.Sched.M1Origin.fork_rel: 18/18 binders; law Effect4.Program.Sched.fork_rel; exact true; adapter false
Effect4.Program.Sched.M1Origin.pendingOk_make: 6/6 binders; law Effect4.Program.Sched.pendingOk_make; exact true; adapter false
Effect4.Program.Sched.M1Origin.raceAll_rel: 14/14 binders; law Effect4.Program.Sched.raceAll_rel; exact true; adapter false
Effect4.Program.Sched.M1Origin.spawn_rel: 16/16 binders; law Effect4.Program.Sched.spawn_rel; exact true; adapter false
Effect4.Program.Sched.M1OriginFibers.fmeans_make: 9/9 binders; law Effect4.Program.Sched.fmeans_make; exact true; adapter false
Effect4.Program.Sched.M1OriginFibers.make_pending_empty: 6/6 binders; law Effect4.Program.Sched.make_pending_empty; exact true; adapter false
Effect4.Program.Sched.M1OriginFibers.raceMeans_mk': 11/11 binders; law Effect4.Program.Sched.raceMeans_mk'; exact true; adapter false
Effect4.Program.Sched.M1OriginFibers.raceMeans_nextSite: 4/4 binders; law Effect4.Program.Sched.raceMeans_nextSite; exact true; adapter false
Effect4.Program.Sched.M1PendingOrigin.beginRace_pendingOk: 7/7 binders; law Effect4.Program.Sched.beginRace_pendingOk; exact false; adapter true
Effect4.Program.Sched.M1PendingOrigin.forkIn_pendingOk: 11/11 binders; law Effect4.Program.Sched.forkIn_pendingOk; exact false; adapter true
Effect4.Program.Sched.M1PendingOrigin.forkScoped_pendingOk: 10/10 binders; law Effect4.Program.Sched.forkScoped_pendingOk; exact false; adapter true
Effect4.Program.Sched.M1PendingOrigin.fork_pendingOk: 10/10 binders; law Effect4.Program.Sched.fork_pendingOk; exact false; adapter true
Effect4.Program.Typed.M2Validity.completionOk_mono: 6/6 binders; law Effect4.Program.Typed.completionOk_mono; exact true; adapter false
Effect4.Program.Typed.M2Validity.completion_transport: 7/7 binders; law Effect4.Program.Typed.completion_transport; exact true; adapter false
Effect4.Program.Typed.M2Validity.exitFits_mono: 6/6 binders; law Effect4.Program.Typed.exitFits_mono; exact true; adapter false
Effect4.Program.Typed.M2Validity.heapTypedAt_mono: 6/6 binders; law Effect4.Program.Typed.heapTypedAt_mono; exact true; adapter false
Effect4.Program.Typed.M2Validity.initial_world_valid: 5/5 binders; law Effect4.Program.Typed.initial_world_valid; exact true; adapter false
Effect4.Program.Typed.M2Validity.leHost_base: 3/3 binders; law Effect4.Program.Typed.leHost_base; exact true; adapter false
Effect4.Program.Typed.M2Validity.leHost_refl: 1/1 binders; law Effect4.Program.Typed.leHost_refl; exact true; adapter false
Effect4.Program.Typed.M2Validity.leHost_trans: 5/5 binders; law Effect4.Program.Typed.leHost_trans; exact true; adapter false
Effect4.Program.Typed.M2Validity.promiseTypedAt_mono: 6/6 binders; law Effect4.Program.Typed.promiseTypedAt_mono; exact true; adapter false
Effect4.Program.Typed.M2Validity.ref_completion_live: 7/7 binders; law Effect4.Program.Typed.ref_completion_live; exact true; adapter false
Effect4.Program.Typed.M2Validity.valid_deferredMake_fresh: 4/4 binders; law Effect4.Program.Typed.valid_deferredMake_fresh; exact true; adapter false
Effect4.Program.Typed.M2Validity.valid_nextToken_fresh: 5/5 binders; law Effect4.Program.Typed.valid_nextToken_fresh; exact true; adapter false
Effect4.Program.Typed.M2Validity.valid_refMake_fresh: 4/4 binders; law Effect4.Program.Typed.valid_refMake_fresh; exact true; adapter false
Effect4.Program.Typed.M2Validity.valueOk_mono: 6/6 binders; law Effect4.Program.Typed.valueOk_mono; exact true; adapter false
Effect4.Program.Typed.M2Validity.value_transport: 6/6 binders; law Effect4.Program.Typed.value_transport; exact true; adapter false
Effect4.Program.Typed.M3aAdmissionObligations.finishFinalizer_payload_inv: 6/6 binders; law Effect4.Program.Typed.finishFinalizer_payload_inv; exact true; adapter false
Effect4.Program.Typed.M3aAdmissionObligations.unguard_payload_inv: 6/6 binders; law Effect4.Program.Typed.unguard_payload_inv; exact true; adapter false
Effect4.Program.Typed.M3aResidualObligations.settling_fork: 5/5 binders; law Effect4.Program.Typed.settling_fork; exact true; adapter false
Effect4.Program.Typed.M3aResidualObligations.settling_mask: 6/6 binders; law Effect4.Program.Typed.settling_mask; exact true; adapter false
Effect4.Program.Typed.M3aResidualObligations.settling_ref_allocation: 3/3 binders; law Effect4.Program.Typed.settling_ref_allocation; exact true; adapter false
Effect4.Program.Typed.M3aResidualObligations.settling_ref_preserves_nat: 4/4 binders; law Effect4.Program.Typed.settling_ref_preserves_nat; exact true; adapter false
Effect4.Program.Typed.WorldControlWanted.heap_bad: 0/0 binders; law Effect4.Program.Typed.heap_bad; exact true; adapter false
Effect4.Program.Typed.WorldControlWanted.heap_good: 0/0 binders; law Effect4.Program.Typed.heap_good; exact true; adapter false
Effect4.Program.Typed.WorldControlWanted.invalid_refl: 0/0 binders; law Effect4.Program.Typed.invalid_refl; exact true; adapter false
Effect4.Program.Typed.WorldControlWanted.stores_ordered: 0/0 binders; law Effect4.Program.Typed.stores_ordered; exact true; adapter false
Effect4.Program.Typed.WorldControlWanted.world_order_refuses: 0/0 binders; law Effect4.Program.Typed.world_order_refuses; exact true; adapter false
Effect4.Program.Typed.WorldWanted.deferredMake_extension: 6/6 binders; law Effect4.Program.Typed.deferredMake_extension; exact true; adapter false
Effect4.Program.Typed.WorldWanted.fork_extension: 4/4 binders; law Effect4.Program.Typed.fork_extension; exact true; adapter false
Effect4.Program.Typed.WorldWanted.heapNat_iff: 2/2 binders; law Effect4.Program.Typed.heapNat_iff; exact true; adapter false
Effect4.Program.Typed.WorldWanted.heapNotMonotone: 0/0 binders; law Effect4.Program.Typed.heapNotMonotone; exact true; adapter false
Effect4.Program.Typed.WorldWanted.heap_coverage_iff: 1/1 binders; law Effect4.Program.Typed.heap_coverage_iff; exact true; adapter false
Effect4.Program.Typed.WorldWanted.heap_typed_at_mono: 6/6 binders; law Effect4.Program.Typed.heap_typed_at_mono; exact true; adapter false
Effect4.Program.Typed.WorldWanted.insert_extends: 7/7 binders; law Effect4.Program.Typed.insert_extends; exact true; adapter false
Effect4.Program.Typed.WorldWanted.insert_here: 6/6 binders; law Effect4.Program.Typed.insert_here; exact true; adapter false
Effect4.Program.Typed.WorldWanted.insert_other: 8/8 binders; law Effect4.Program.Typed.insert_other; exact true; adapter false
Effect4.Program.Typed.WorldWanted.memoBuild_extension: 8/8 binders; law Effect4.Program.Typed.memoBuild_extension; exact true; adapter false
Effect4.Program.Typed.WorldWanted.order_refl: 1/1 binders; law Effect4.Program.Typed.order_refl; exact true; adapter false
Effect4.Program.Typed.WorldWanted.order_trans: 5/5 binders; law Effect4.Program.Typed.order_trans; exact true; adapter false
Effect4.Program.Typed.WorldWanted.park_extension: 5/5 binders; law Effect4.Program.Typed.park_extension; exact true; adapter false
Effect4.Program.Typed.WorldWanted.promise_coverage_iff: 1/1 binders; law Effect4.Program.Typed.promise_coverage_iff; exact true; adapter false
Effect4.Program.Typed.WorldWanted.promise_typed_at_mono: 6/6 binders; law Effect4.Program.Typed.promise_typed_at_mono; exact true; adapter false
Effect4.Program.Typed.WorldWanted.protocol_order: 0/0 binders; law Effect4.Program.Typed.protocol_order; exact true; adapter false
Effect4.Program.Typed.WorldWanted.refMake_extension: 8/8 binders; law Effect4.Program.Typed.refMake_extension; exact true; adapter false
Effect4.Program.Typed.WorldWanted.ref_completion_inv: 3/3 binders; law Effect4.Program.Typed.ref_completion_inv; exact true; adapter false
Effect4.Program.Typed.WorldWanted.table_refl: 3/3 binders; law Effect4.Program.Typed.table_refl; exact true; adapter false
Effect4.Program.Typed.WorldWanted.table_trans: 7/7 binders; law Effect4.Program.Typed.table_trans; exact true; adapter false
Effect4: 262 paired, 80 without a namesake, 0 mismatches
OPEN Effect4.Api.M1Origin.source_fork_site
OPEN Effect4.Api.TraceFacts.M1Trace.step_agrees
OPEN Effect4.Program.Guard.M4Handshake.parkHandshake_reachable
OPEN Effect4.Api.TraceFacts.M1Trace.reachable_agrees
OPEN Effect4.Api.M1Origin.source_two_race_sites
OPEN Effect4.Api.M1Origin.source_forkScoped_site
OPEN Effect4.Api.M1Origin.source_race_site
OPEN Effect4.Api.M1Origin.source_forkIn_site
OPEN Effect4.Run.M1Trace.observe_replace_trace
UNIQUE LEDGER: 342 total; 333 proved; 9 open
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.below.pure: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.frozen_hook_rejects_unit: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.rec: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.atSleep._sparseCasesOn_4: [propext]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.recOn: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.sleepStack: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.sleeping: []
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.cancel_typed: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.strongExit_unit: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.W: []
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.leakyGuard_rejected: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.below.finishFinalizer: [propext,
 Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natCatch: [propext]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.scopeExit: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.casesOn: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.sleep_stack_rejected: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedSleepStack: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natCatch_typed.match_1_3: []
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natErr.eq_1: []
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natCatch_typed.match_1_9: []
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natToBool_typed: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.guard_rejects_wrong_arm: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.cancellation_cannot_type: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.atSleep.match_1: [propext]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.below.rec: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.scoped: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.atSleep._sparseCasesOn_5: [propext]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natErr_fits.match_1_1: []
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.unguard: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.strongExit_unit.match_1_1: []
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.sleep_stack_accepted: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.reviewedFiberPost: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.clean_cancellation_cannot_type: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.atSleep.match_10: [propext]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.clean_cancellation_still_rejected: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.atSleep._sparseCasesOn_1: [propext]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natCatch.match_1: []
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.strongExit_nat.match_1_1: []
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.pure: [propext]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedTypedProg: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.control_cancellation_cannot_type: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.cancel_interrupt_typed: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.below.scoped: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natErr_fits._simp_1_4: [propext]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.below.scopeExit: [propext,
 Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.parked: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.cancellation_exit: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.atSleep: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.reviewed_unguard_payload_inv: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedAsync: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.finishFinalizer: [propext,
 Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.poisonedCause: []
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.vis_inl: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.leakyGuard: [propext]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.below.casesOn: [propext,
 Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natErr_fits: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.atSleep._sparseCasesOn_7: [propext]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.below.vis_inl: [propext,
 Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.store_rejects_wrong_answer: [propext]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natCatch_typed.match_1_1: []
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.other: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.reviewedFiberPost.match_1: [propext]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.atSleep._sparseCasesOn_6: [propext]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.brecOn: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.sleepCancel: []
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.W: []
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natToBool: [propext]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.below.other: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.sleep_stack_exact: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedΨ_F: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.strongExit_nat: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.atSleep._sparseCasesOn_3: [propext]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.atSleep._sparseCasesOn_2: [propext]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natCatch_typed.match_1_7: []
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.below: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natErr: []
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.does_not_fit: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.unguard_payload_rejected: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natCatch_typed.match_1_5: []
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.clean_input_fits: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.reviewedFiberPost._sparseCasesOn_1: [propext]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.ReviewedControlAdmitted.below.unguard: [propext,
 Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Counterexamples.AsyncHookContract.guard_admits_wrong_arm: [propext, Quot.sound]
COUNTEREXAMPLE AXIOMS Test.Program.TypedControl.natCatch_typed: [propext, Quot.sound]
COUNTEREXAMPLE AND CONTROL MODULES: 85 declarations checked at [propext, Quot.sound]
